Transaction ID,,Transaction effective date,Transaction amount,Credit or debit indicator,Statement description,High level transaction purpose,Mid level transaction purpose,Low level transaction purpose,Transaction code,Merchant ID,Product type,Snapshot date,Payment due day,Repayment amount,Previous repayment date
18,,11/29/2019,5494.35,Debit,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,Withdrawal,ATM,Entertainment,347,3361,Home Loan,4/16/2019,11,1609.57,2/3/2020
19,,1/7/2020,4412.55,Debit,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,Transfer,Online,Entertainment,431,4241,Personal Loan,3/5/2021,21,725.38,12/25/2019
20,,7/26/2020,8748.39,Credit,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,Purchase,Retail,Groceries,368,2382,Home Loan,3/15/2019,3,3629.86,8/8/2020
21,,8/1/2020,2435.22,Debit,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,Transfer,ATM,Utilities,276,2050,Personal Loan,7/16/2019,8,4458.74,4/21/2021
22,,8/4/2021,8915.38,Credit,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,Transfer,Online,Entertainment,623,2484,Personal Loan,1/23/2021,12,4491.49,4/7/2021
23,,9/3/2019,5068.36,Credit,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,Purchase,ATM,Utilities,154,8897,Home Loan,4/5/2021,23,1342.59,9/4/2021
24,,8/22/2021,2924.13,Debit,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,Transfer,ATM,Entertainment,620,9624,Personal Loan,3/3/2019,13,4238.58,6/28/2019
25,,12/14/2021,1700.1,Debit,in magna bibendum imperdiet nullam orci pede venenatis non sodales,Withdrawal,Retail,Groceries,552,5423,Home Loan,1/25/2021,1,3211.49,6/30/2021
26,,4/6/2021,6077.68,Credit,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,Purchase,ATM,Utilities,418,8309,Home Loan,5/3/2020,24,3584.02,3/27/2019
27,,10/30/2021,4846.47,Debit,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,Purchase,Online,Utilities,987,8511,Personal Loan,10/19/2019,31,4955.91,7/2/2021
28,,2/21/2019,1280.76,Credit,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,Transfer,Retail,Entertainment,452,2517,Home Loan,6/20/2019,22,3479.26,4/9/2021
29,,6/27/2021,9009.93,Credit,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,Transfer,ATM,Groceries,796,9125,Personal Loan,12/5/2020,19,2641.23,7/31/2020
30,,7/28/2019,4363.76,Debit,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,Purchase,ATM,Groceries,543,3886,Home Loan,10/9/2019,5,2943.73,9/28/2019
31,,10/10/2019,5806.32,Debit,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,Withdrawal,Online,Groceries,730,4639,Home Loan,4/13/2020,24,1841.06,4/13/2020
32,,8/14/2019,8352.49,Debit,ut massa volutpat convallis morbi odio odio elementum eu interdum,Purchase,ATM,Utilities,864,4074,Personal Loan,7/21/2020,1,4838.55,7/14/2021
33,,2/14/2021,7117.95,Credit,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,Withdrawal,Online,Entertainment,199,5683,Personal Loan,6/24/2021,10,3112.73,5/17/2021
34,,1/27/2020,1569.77,Credit,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,Purchase,Online,Utilities,337,8513,Personal Loan,11/14/2019,11,410.46,10/8/2020
35,,6/21/2020,5989.63,Debit,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,Purchase,Retail,Groceries,324,1303,Personal Loan,12/23/2019,25,1874.25,8/19/2021
36,,12/6/2020,6949.34,Credit,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,Withdrawal,ATM,Groceries,593,3242,Home Loan,1/19/2020,1,767.31,11/11/2019
37,,12/5/2019,7555.19,Debit,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,Purchase,Retail,Entertainment,886,2777,Personal Loan,4/5/2021,28,2603.86,5/23/2020
38,,5/23/2021,392.6,Debit,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,Withdrawal,Retail,Groceries,685,6833,Personal Loan,2/15/2021,28,1669.68,9/9/2019
39,,8/31/2020,7583.31,Debit,mollis molestie lorem quisque ut erat curabitur gravida nisi at,Withdrawal,Online,Groceries,458,9900,Home Loan,2/24/2021,31,3372.24,12/7/2019
40,,11/21/2021,2584.44,Credit,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,Withdrawal,Online,Utilities,545,5099,Home Loan,7/20/2020,12,71.34,9/13/2020
41,,7/18/2020,6795.79,Credit,rutrum nulla tellus in sagittis dui vel nisl duis ac,Withdrawal,Retail,Entertainment,836,2073,Home Loan,5/5/2021,30,3142.17,9/15/2021
42,,12/14/2019,3437.24,Credit,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,Transfer,Retail,Groceries,473,8796,Personal Loan,8/19/2019,28,2833.48,11/22/2021
43,,11/26/2019,869.52,Credit,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,Purchase,Retail,Groceries,198,3968,Home Loan,2/17/2021,5,1027.77,7/17/2021
44,,7/28/2021,8235.58,Debit,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,Transfer,ATM,Utilities,641,4470,Personal Loan,11/21/2020,10,436.22,3/13/2019
45,,3/22/2020,8280.4,Debit,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,Purchase,Retail,Utilities,639,5779,Home Loan,10/27/2020,1,3893.34,11/16/2021
46,,6/15/2019,9549.27,Credit,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,Withdrawal,ATM,Groceries,376,6924,Personal Loan,9/9/2019,5,4561.61,10/18/2020
47,,7/16/2021,8265.17,Debit,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,Withdrawal,Online,Utilities,769,9696,Personal Loan,3/16/2020,28,1337.06,4/3/2020
48,,10/25/2021,2377.06,Debit,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,Withdrawal,Online,Utilities,835,4623,Home Loan,3/22/2021,15,3197.15,3/21/2019
49,,7/2/2019,336.15,Credit,in ante vestibulum ante ipsum primis in faucibus orci luctus,Purchase,ATM,Entertainment,900,2939,Personal Loan,9/28/2019,11,4866.19,6/15/2020
50,,9/11/2020,1865.19,Credit,justo nec condimentum neque sapien placerat ante nulla justo aliquam,Transfer,ATM,Utilities,707,1139,Personal Loan,9/5/2020,19,622.86,8/24/2019
51,,6/3/2020,3158.93,Credit,velit vivamus vel nulla eget eros elementum pellentesque quisque porta,Transfer,Retail,Entertainment,632,5751,Personal Loan,8/17/2021,9,4045.08,1/1/2021
52,,6/10/2021,4309.91,Debit,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,Withdrawal,Online,Groceries,773,5557,Personal Loan,5/12/2019,3,2643.73,7/7/2020
53,,2/18/2020,2848.65,Credit,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,Withdrawal,Online,Utilities,103,7436,Personal Loan,4/8/2020,21,4322.85,9/17/2019
54,,6/16/2019,5736.83,Debit,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,Purchase,ATM,Groceries,277,3761,Home Loan,10/18/2021,16,2386.94,11/6/2021
55,,7/13/2020,6186.76,Credit,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,Withdrawal,Online,Groceries,842,6673,Home Loan,2/14/2021,12,2952.76,6/5/2019
56,,9/24/2019,7927.26,Debit,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,Transfer,ATM,Groceries,569,3192,Home Loan,1/2/2020,18,3421.94,9/8/2021
57,,12/22/2019,8255.46,Debit,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,Transfer,Retail,Utilities,685,5220,Personal Loan,7/18/2020,22,2523.96,6/22/2021
58,,3/15/2019,718.7,Debit,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,Purchase,Online,Utilities,132,8426,Home Loan,4/5/2019,8,1724.42,11/16/2021
59,,3/19/2020,5544.62,Credit,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,Withdrawal,Online,Entertainment,449,5150,Home Loan,4/1/2021,10,1412.64,4/16/2019
60,,9/22/2019,6500.72,Debit,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,Withdrawal,Retail,Groceries,162,3089,Personal Loan,12/31/2020,16,2170.04,11/30/2019
61,,8/20/2021,3989.61,Debit,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,Transfer,Retail,Groceries,468,3711,Home Loan,5/23/2021,13,2943.76,6/4/2020
62,,6/28/2020,3651.87,Debit,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,Withdrawal,ATM,Groceries,644,2404,Personal Loan,8/1/2020,21,3457.24,12/29/2020
63,,7/29/2021,6831.02,Credit,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,Purchase,Online,Utilities,252,9285,Home Loan,8/15/2021,26,1805.28,5/1/2019
64,,7/3/2021,7729.89,Debit,potenti cras in purus eu magna vulputate luctus cum sociis,Purchase,ATM,Entertainment,534,4004,Home Loan,3/31/2021,16,1922.27,1/4/2019
65,,12/7/2020,4646.38,Debit,a libero nam dui proin leo odio porttitor id consequat,Withdrawal,Retail,Utilities,859,9516,Home Loan,7/11/2021,5,76.03,5/9/2020
66,,12/9/2019,1041.12,Debit,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,Transfer,Retail,Entertainment,384,1276,Home Loan,4/5/2019,7,1823.75,2/24/2019
67,,2/15/2020,6782.73,Debit,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,Transfer,Online,Utilities,184,2507,Home Loan,7/26/2021,15,3303.49,4/14/2019
68,,8/23/2020,1672.84,Debit,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,Transfer,Retail,Groceries,739,4366,Personal Loan,5/17/2019,5,2407.89,10/3/2020
69,,2/5/2019,3611.07,Debit,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,Withdrawal,Online,Groceries,693,5273,Home Loan,2/21/2020,3,273.1,5/13/2020
70,,1/9/2021,5011.53,Credit,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,Purchase,ATM,Utilities,638,1640,Personal Loan,1/17/2019,31,2335.19,10/12/2019
71,,5/10/2020,4053.39,Credit,elit proin risus praesent lectus vestibulum quam sapien varius ut,Withdrawal,ATM,Groceries,534,9542,Home Loan,5/15/2020,24,737.22,7/20/2020
72,,11/5/2019,7069.49,Debit,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,Purchase,Online,Groceries,336,6135,Home Loan,12/2/2019,26,3190.01,3/22/2019
73,,9/19/2021,8492.75,Debit,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,Purchase,Online,Entertainment,278,9642,Personal Loan,6/2/2020,21,3259.9,2/26/2020
74,,8/14/2020,1469.6,Debit,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,Transfer,Online,Entertainment,563,1124,Home Loan,12/22/2021,19,2617.4,3/6/2019
75,,9/25/2020,2486.43,Credit,commodo placerat praesent blandit nam nulla integer pede justo lacinia,Withdrawal,Online,Groceries,455,6882,Home Loan,8/10/2019,28,3824.93,8/12/2021
76,,10/19/2020,7657.46,Debit,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,Transfer,ATM,Groceries,507,7777,Personal Loan,9/19/2020,21,4574.57,2/20/2020
77,,12/16/2021,5763.38,Credit,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,Transfer,Retail,Groceries,862,3015,Personal Loan,9/8/2020,18,1988.7,3/5/2020
78,,6/19/2020,5761.47,Debit,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,Withdrawal,ATM,Groceries,745,9750,Home Loan,5/11/2020,6,415.53,3/9/2020
79,,10/30/2020,8319.11,Credit,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,Withdrawal,ATM,Groceries,800,3504,Personal Loan,3/16/2021,26,2103.92,10/12/2020
80,,12/11/2020,9342.62,Credit,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,Withdrawal,Retail,Groceries,837,7817,Home Loan,8/15/2020,9,4170.63,9/26/2020
81,,11/26/2021,9457.67,Debit,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,Withdrawal,ATM,Entertainment,522,6640,Personal Loan,4/21/2019,26,76.86,3/23/2021
82,,4/22/2021,2420.23,Debit,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,Purchase,ATM,Groceries,186,2648,Personal Loan,11/11/2020,22,3883.11,4/11/2020
83,,6/15/2020,5935.36,Credit,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,Purchase,Retail,Entertainment,147,4031,Personal Loan,3/8/2020,10,3404.06,4/23/2021
84,,8/19/2020,2839.03,Credit,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,Purchase,Retail,Utilities,625,2774,Personal Loan,5/3/2021,28,214.84,12/31/2019
85,,7/25/2019,6888.64,Debit,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,Purchase,Online,Entertainment,448,1201,Personal Loan,8/14/2019,3,4237,8/14/2019
86,,9/24/2021,8333.05,Credit,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,Withdrawal,Retail,Utilities,893,6802,Personal Loan,6/4/2021,12,4585.62,9/25/2020
87,,11/14/2021,2207.69,Debit,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,Purchase,ATM,Utilities,983,3556,Personal Loan,12/18/2021,30,27.09,6/5/2019
88,,12/5/2020,299.4,Credit,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,Transfer,ATM,Groceries,955,5168,Personal Loan,4/18/2019,27,3357.84,10/3/2019
89,,5/24/2020,2512.48,Credit,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,Withdrawal,Retail,Utilities,970,1673,Personal Loan,11/8/2021,27,4138.72,12/7/2020
90,,7/18/2021,5216.77,Credit,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,Purchase,Retail,Utilities,562,1472,Home Loan,1/16/2021,10,1001.1,12/8/2019
91,,5/29/2019,3503.91,Debit,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,Withdrawal,ATM,Utilities,232,1236,Home Loan,1/19/2019,16,3849.14,4/18/2021
92,,3/22/2019,5757.12,Debit,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,Withdrawal,Retail,Entertainment,608,4261,Home Loan,9/9/2019,30,3976.84,10/16/2019
93,,2/6/2019,8467.86,Debit,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,Transfer,ATM,Utilities,461,3385,Personal Loan,9/10/2021,21,1718.72,2/22/2021
94,,1/15/2020,9649.98,Debit,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,Withdrawal,ATM,Groceries,965,3883,Personal Loan,7/15/2019,30,2283.59,5/25/2021
95,,11/29/2019,7628.37,Debit,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,Transfer,Retail,Groceries,458,1800,Home Loan,7/24/2019,28,1693.49,6/14/2020
96,,3/16/2021,2478.89,Debit,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,Withdrawal,Online,Entertainment,458,2832,Personal Loan,6/8/2020,10,4727.63,3/12/2021
97,,4/15/2019,9211.11,Debit,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,Purchase,ATM,Groceries,588,5482,Home Loan,10/30/2019,6,3298.44,1/2/2019
98,,4/17/2020,4018.22,Credit,tellus in sagittis dui vel nisl duis ac nibh fusce,Transfer,Retail,Groceries,406,7259,Personal Loan,6/21/2020,13,2928.33,2/27/2021
99,,3/16/2020,1862.47,Credit,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,Transfer,ATM,Utilities,458,4715,Personal Loan,3/23/2019,19,2939.82,5/12/2021
100,,6/2/2019,2545.06,Credit,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,Withdrawal,Retail,Utilities,959,2448,Personal Loan,5/26/2019,23,3582.44,5/6/2019
101,,11/14/2021,4980.92,Debit,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,Transfer,Retail,Entertainment,507,8894,Home Loan,5/17/2020,15,2953.7,6/26/2019
102,,4/10/2019,7104.06,Debit,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,Withdrawal,Online,Groceries,795,1724,Personal Loan,11/11/2020,26,4017.79,12/13/2019
103,,8/31/2020,1140.5,Credit,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,Withdrawal,Online,Groceries,732,9179,Personal Loan,6/2/2019,30,929.92,12/22/2021
104,,6/2/2020,9893.42,Credit,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,Withdrawal,Retail,Entertainment,538,4069,Personal Loan,1/31/2019,8,3849.94,1/17/2019
105,,8/12/2021,9278.05,Credit,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,Transfer,Retail,Utilities,195,6690,Personal Loan,2/12/2020,9,202.39,5/26/2019
106,,3/31/2021,4026.08,Credit,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,Withdrawal,Retail,Utilities,697,3300,Personal Loan,3/25/2020,27,4324.48,6/8/2020
107,,7/7/2021,5105.62,Debit,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,Transfer,Online,Utilities,171,2766,Personal Loan,10/17/2021,24,4847.74,5/17/2019
108,,11/4/2021,8595.91,Credit,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,Withdrawal,ATM,Utilities,122,7303,Home Loan,4/26/2021,7,1811.41,6/3/2019
109,,4/29/2021,8490.45,Credit,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,Purchase,Online,Entertainment,460,7127,Home Loan,1/4/2021,6,1372.81,11/21/2021
110,,8/28/2021,509.14,Credit,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,Withdrawal,Retail,Entertainment,757,5309,Home Loan,7/5/2021,1,525.5,4/8/2020
111,,8/13/2021,4509.25,Debit,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,Withdrawal,Retail,Groceries,901,6831,Home Loan,1/13/2020,6,3790.43,5/24/2021
112,,6/4/2020,7811.55,Debit,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,Transfer,Online,Groceries,422,9489,Home Loan,6/9/2020,12,1736.94,10/28/2019
113,,6/14/2020,8359.92,Debit,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,Transfer,ATM,Groceries,983,9304,Home Loan,4/5/2020,12,1819.82,8/10/2021
114,,6/17/2021,6446.51,Debit,in felis donec semper sapien a libero nam dui proin,Transfer,Retail,Utilities,228,4677,Home Loan,4/26/2019,10,2265.29,6/14/2019
115,,1/17/2021,4585.33,Credit,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,Withdrawal,Online,Groceries,998,4888,Personal Loan,2/28/2020,10,4276.1,6/15/2020
116,,11/1/2019,7315.94,Credit,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante,Transfer,Retail,Groceries,863,8640,Personal Loan,12/4/2021,27,2677.29,12/3/2020
117,,10/3/2021,7228.61,Credit,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,Transfer,Retail,Groceries,113,6018,Home Loan,9/8/2019,25,4864.35,4/19/2020
118,,2/15/2021,8188.94,Debit,pede justo eu massa donec dapibus duis at velit eu est congue,Withdrawal,Retail,Groceries,291,4791,Personal Loan,1/18/2019,7,3618.64,7/16/2021
119,,1/24/2020,8582.9,Credit,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,Withdrawal,Retail,Entertainment,171,6565,Home Loan,2/16/2020,1,3491.82,11/16/2021
120,,3/25/2019,874.01,Credit,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,Transfer,ATM,Groceries,398,8789,Home Loan,10/16/2019,31,2211.69,1/10/2020
121,,11/8/2021,2167.39,Debit,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,Withdrawal,ATM,Groceries,826,3984,Personal Loan,1/30/2020,25,2700.07,11/28/2021
122,,11/9/2020,1383.49,Debit,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,Transfer,Retail,Entertainment,471,3587,Personal Loan,3/17/2021,13,2542.63,6/15/2019
123,,2/9/2021,7809.89,Debit,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,Purchase,ATM,Groceries,638,8111,Home Loan,5/17/2020,1,4253.98,12/19/2020
124,,10/13/2020,8706.43,Debit,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,Purchase,ATM,Entertainment,526,4802,Home Loan,2/17/2020,2,4355.45,1/6/2019
125,,10/10/2021,2878.9,Credit,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,Purchase,Retail,Groceries,697,1816,Personal Loan,8/5/2021,4,1974.9,12/7/2021
126,,2/28/2020,5593.17,Debit,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,Transfer,Online,Utilities,297,8655,Personal Loan,11/24/2021,17,1598.69,10/14/2019
127,,4/21/2021,5997.53,Debit,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,Transfer,Retail,Utilities,891,6365,Home Loan,3/10/2019,18,3454.72,3/7/2020
